the,of,is,cause
pokemon/stat/hp,35KHHxmmBUTJzBfYF4PkNEHfbNtQZFKmo3UqdFq7Sf6d,57,
pokemon/stat/special-attack,35KHHxmmBUTJzBfYF4PkNEHfbNtQZFKmo3UqdFq7Sf6d,50,
pokemon/stat/special-defense,35KHHxmmBUTJzBfYF4PkNEHfbNtQZFKmo3UqdFq7Sf6d,80,
pokemon/stat/speed,35KHHxmmBUTJzBfYF4PkNEHfbNtQZFKmo3UqdFq7Sf6d,95,
pokemon/type/0,35KHHxmmBUTJzBfYF4PkNEHfbNtQZFKmo3UqdFq7Sf6d,fairy,
pokemon/name,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,xerneas,
pokemon/stat/attack,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,131,
pokemon/stat/defense,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,95,
pokemon/stat/hp,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,126,
pokemon/stat/special-attack,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,131,
pokemon/stat/special-defense,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,98,
pokemon/stat/speed,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,99,
pokemon/type/0,38CkYUa62JgVHtD2BZvRg6TnziEgWKuinAQVH2tCT3yP,fairy,
pokemon/name,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,basculegion-female,
pokemon/stat/attack,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,92,
pokemon/stat/defense,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,65,
pokemon/stat/hp,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,120,
pokemon/stat/special-attack,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,100,
pokemon/stat/special-defense,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,75,
pokemon/stat/speed,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,78,
pokemon/type/0,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,water,
pokemon/type/1,393WzcNETHQBXQTNUtL1QGaMMnFGjj4yJtQdyvRY4She,ghost,
pokemon/name,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,sentret,
pokemon/stat/attack,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,46,
pokemon/stat/defense,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,34,
pokemon/stat/hp,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,35,
pokemon/stat/special-attack,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,35,
pokemon/stat/special-defense,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,45,
pokemon/stat/speed,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,20,
pokemon/type/0,3CWrYokjpiKm2vSzCA7ZpgJXDqnZLo6BEojgMyGP4pWn,normal,
pokemon/name,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,wishiwashi-school,
pokemon/stat/attack,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,140,
pokemon/stat/defense,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,130,
pokemon/stat/hp,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,45,
pokemon/stat/special-attack,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,140,
pokemon/stat/special-defense,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,135,
pokemon/stat/speed,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,30,
pokemon/type/0,3CdX4FdQzkPnr6Gi8ZQyJ77grfT8Q9mjHwp5xk7KRMVu,water,
pokemon/name,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,ponyta,
pokemon/stat/attack,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,85,
pokemon/stat/defense,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,55,
pokemon/stat/hp,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,50,
pokemon/stat/special-attack,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,65,
pokemon/stat/special-defense,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,65,
pokemon/stat/speed,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,90,
pokemon/type/0,3CzN2KpnupGgttZUQNJguy4WCHLhKsiY9TJLGAnzYt94,fire,
pokemon/name,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,comfey,
pokemon/stat/attack,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,52,
pokemon/stat/defense,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,90,
pokemon/stat/hp,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,51,
pokemon/stat/special-attack,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,82,
pokemon/stat/special-defense,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,110,
pokemon/stat/speed,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,100,
pokemon/type/0,3HYe9Bzu1XiuVH9znVaVGgUuLAd2HDZH8E8cg5c6JUax,fairy,
pokemon/name,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,muk-alola,
pokemon/stat/attack,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,105,
pokemon/stat/defense,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,75,
pokemon/stat/hp,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,105,
pokemon/stat/special-attack,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,65,
pokemon/stat/special-defense,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,100,
pokemon/stat/speed,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,50,
pokemon/type/0,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,poison,
pokemon/type/1,3HfNHYWNkBmgq4xYQGED1JSykrvFoW9dL6QZg2TxBF3u,dark,
pokemon/name,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,lotad,
pokemon/stat/attack,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,30,
pokemon/stat/defense,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,30,
pokemon/stat/hp,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,40,
pokemon/stat/special-attack,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,40,
pokemon/stat/special-defense,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,50,
pokemon/stat/speed,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,30,
pokemon/type/0,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,water,
pokemon/type/1,3JDX53TKXTVq4WEghbkmQDaE2rrBdvbUbTayh12LUCpC,grass,
pokemon/name,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,empoleon,
pokemon/stat/attack,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,86,
pokemon/stat/defense,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,88,
pokemon/stat/hp,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,84,
pokemon/stat/special-attack,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,111,
pokemon/stat/special-defense,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,101,
pokemon/stat/speed,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,60,
pokemon/type/0,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,water,
pokemon/type/1,3JDeYFGqbM69NsWdmpQKQqnRnVgTeodjwFdwHw47yWdT,steel,
pokemon/name,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,cosmog,
pokemon/stat/attack,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,29,
pokemon/stat/defense,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,31,
pokemon/stat/hp,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,43,
pokemon/stat/special-attack,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,29,
pokemon/stat/special-defense,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,31,
pokemon/stat/speed,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,37,
pokemon/type/0,3JHjgQSKEj6jxSgUPE1Dtjeh2CMSTwW9QkCg5yrEteFS,psychic,
pokemon/name,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,ogerpon,
pokemon/stat/attack,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,120,
pokemon/stat/defense,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,84,
pokemon/stat/hp,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,80,
pokemon/stat/special-attack,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,60,
pokemon/stat/special-defense,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,96,
pokemon/stat/speed,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,110,
pokemon/type/0,3JgMA7tU23LMXL7Nmt5pfanqRCQeXDu5EUDE8z118WYD,grass,
pokemon/name,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,magikarp,
pokemon/stat/attack,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,10,
pokemon/stat/defense,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,55,
pokemon/stat/hp,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,20,
pokemon/stat/special-attack,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,15,
pokemon/stat/special-defense,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,20,
pokemon/stat/speed,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,80,
pokemon/type/0,3K7YMTNQUfbJnRMtrAFWKZGkQteE53v5eSQqHQ1gvRtN,water,
pokemon/name,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,burmy,
pokemon/stat/attack,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,29,
pokemon/stat/defense,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,45,
pokemon/stat/hp,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,40,
pokemon/stat/special-attack,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,29,
pokemon/stat/special-defense,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,45,
pokemon/stat/speed,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,36,
pokemon/type/0,3KXAd8gtmsj3ipfb2Gi7rtH4D15LQTnQ2dbbJVM5384t,bug,
pokemon/name,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,kangaskhan-mega,
pokemon/stat/attack,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,125,
pokemon/stat/defense,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,100,
pokemon/stat/hp,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,105,
pokemon/stat/special-attack,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,60,
pokemon/stat/special-defense,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,100,
pokemon/stat/speed,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,100,
pokemon/type/0,3MMFyL1rW6CfFtUfMMN2agbySnJBa5Ygb4RmEQkcbHFY,normal,
pokemon/name,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,iron-crown,
pokemon/stat/attack,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,72,
pokemon/stat/defense,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,100,
pokemon/stat/hp,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,90,
pokemon/stat/special-attack,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,122,
pokemon/stat/special-defense,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,108,
pokemon/stat/speed,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,98,
pokemon/type/0,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,steel,
pokemon/type/1,3NTu2KKmZKbq73Vcvd54Zgwvj2fJhMCbaqCfg2hJm7UX,psychic,
pokemon/name,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,primeape,
pokemon/stat/attack,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,105,
pokemon/stat/defense,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,60,
pokemon/stat/hp,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,65,
pokemon/stat/special-attack,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,60,
pokemon/stat/special-defense,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,70,
pokemon/stat/speed,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,95,
pokemon/type/0,3NdAGd9VGtXBDqhBVXr4vYqhsTi2ktdGv7cisBb6EdfJ,fighting,
pokemon/name,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,poliwrath,
pokemon/stat/attack,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,95,
pokemon/stat/defense,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,95,
pokemon/stat/hp,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,90,
pokemon/stat/special-attack,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,70,
pokemon/stat/special-defense,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,90,
pokemon/stat/speed,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,70,
pokemon/type/0,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,water,
pokemon/type/1,3PH9niEZQehoNe6XbAAGrW6J3E9sHWjAbRJ7YeXEg4tT,fighting,
pokemon/name,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,pidgeotto,
pokemon/stat/attack,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,60,
pokemon/stat/defense,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,55,
pokemon/stat/hp,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,63,
pokemon/stat/special-attack,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,50,
pokemon/stat/special-defense,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,50,
pokemon/stat/speed,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,71,
pokemon/type/0,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,normal,
pokemon/type/1,3QD8aMT1JuPp1MNokfpQYcvn1REkTMTA25bo8dzNJFkQ,flying,
pokemon/name,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,weezing,
pokemon/stat/attack,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,90,
pokemon/stat/defense,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,120,
pokemon/stat/hp,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,65,
pokemon/stat/special-attack,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,85,
pokemon/stat/special-defense,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,70,
pokemon/stat/speed,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,60,
pokemon/type/0,3QLnP9uKf7DXTgMgrmwjXUzp7qdG6bmrpQmzYWudDBGf,poison,
pokemon/name,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,lampent,
pokemon/stat/attack,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,40,
pokemon/stat/defense,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,60,
pokemon/stat/hp,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,60,
pokemon/stat/special-attack,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,95,
pokemon/stat/special-defense,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,60,
pokemon/stat/speed,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,55,
pokemon/type/0,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,ghost,
pokemon/type/1,3RyfBqgaXCR2vBRvQYq539X1MejCNdnQgHGMCkh5Pn2B,fire,
pokemon/name,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,grimer,
pokemon/stat/attack,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,80,
pokemon/stat/defense,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,50,
pokemon/stat/hp,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,80,
pokemon/stat/special-attack,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,40,
pokemon/stat/special-defense,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,50,
pokemon/stat/speed,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,25,
pokemon/type/0,3SwtqTvk1khjdwdwVYGiYR2eoJLjGjHAxMVTf3bGazVK,poison,
pokemon/name,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,manectric-mega,
pokemon/stat/attack,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,75,
pokemon/stat/defense,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,80,
pokemon/stat/hp,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,70,
pokemon/stat/special-attack,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,135,
pokemon/stat/special-defense,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,80,
pokemon/stat/speed,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,135,
pokemon/type/0,3THXWpYUjisTQ3QUf7GqQjXvwnWVkJtpX7n3nA5Jjzrv,electric,
pokemon/name,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,swanna,
pokemon/stat/attack,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,87,
pokemon/stat/defense,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,63,
pokemon/stat/hp,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,75,
pokemon/stat/special-attack,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,87,
pokemon/stat/special-defense,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,63,
pokemon/stat/speed,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,98,
pokemon/type/0,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,water,
pokemon/type/1,3TTi2JGrgDdKiVo82HJWRxy2chT63UhZEp37mFCX9caL,flying,
pokemon/name,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,pawniard,
pokemon/stat/attack,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,85,
pokemon/stat/defense,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,70,
pokemon/stat/hp,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,45,
pokemon/stat/special-attack,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,40,
pokemon/stat/special-defense,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,40,
pokemon/stat/speed,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,60,
pokemon/type/0,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,dark,
pokemon/type/1,3TXcUUeUN7PzXTMhLnW1LXhV59WZiPhA49DJMNCgNRCm,steel,
pokemon/name,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,clamperl,
pokemon/stat/attack,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,64,
pokemon/stat/defense,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,85,
pokemon/stat/hp,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,35,
pokemon/stat/special-attack,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,74,
pokemon/stat/special-defense,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,55,
pokemon/stat/speed,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,32,
pokemon/type/0,3UDNQnp4DXg1ikRAp3HiHHTqE95HjeUuRwqcBHrQkHgZ,water,
pokemon/name,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,vespiquen,
pokemon/stat/attack,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,80,
pokemon/stat/defense,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,102,
pokemon/stat/hp,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,70,
pokemon/stat/special-attack,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,80,
pokemon/stat/special-defense,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,102,
pokemon/stat/speed,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,40,
pokemon/type/0,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,bug,
pokemon/type/1,3WirEFhvREEUWwisdDVrLbWSd9ehMAARr9aExs6cCrJM,flying,
pokemon/name,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,lucario,
pokemon/stat/attack,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,110,
pokemon/stat/defense,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,70,
pokemon/stat/hp,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,70,
pokemon/stat/special-attack,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,115,
pokemon/stat/special-defense,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,70,
pokemon/stat/speed,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,90,
pokemon/type/0,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,fighting,
pokemon/type/1,3ZP9wQ2putiBiqtgfJw94d5itVcHgQEkrFUWh2EoPwQ4,steel,
pokemon/name,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,thwackey,
pokemon/stat/attack,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,85,
pokemon/stat/defense,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,70,
pokemon/stat/hp,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,70,
pokemon/stat/special-attack,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,55,
pokemon/stat/special-defense,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,60,
pokemon/stat/speed,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,80,
pokemon/type/0,3ZWKAE2QCAJW6Ae4s9qQa6XiqRjQ3VYLLi1HtTG2dEvE,grass,
pokemon/name,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,hariyama,
